year,date,tournament,h_team,a_team,h_elo,a_elo,h_score,a_score,location,neutral
"2,018",March 23,Friendly,Tunisia,Iran,"1,623","1,802",1,0,in Tunisia,0
"2,018",March 23,Friendly,Turkey,Ireland,"1,712","1,731",1,0,in Turkey,0
"2,018",March 23,Friendly tournament,Uruguay,Czechia,"1,866","1,713",2,0,in China,1
"2,018",March 24,Friendly tournament,Zimbabwe,Angola,"1,477","1,252",2,2,in Zambia,1
"2,018",March 24,Friendly,Armenia,Estonia,"1,481","1,515",0,0,in Armenia,0
"2,018",March 24,Friendly,Botswana,Lesotho,"1,253","1,270",1,0,in Botswana,0
"2,018",March 24,Friendly,Canada,New Zealand,"1,524","1,524",1,0,in Spain,1
"2,018",March 24,Friendly,Georgia,Lithuania,"1,482","1,407",4,0,in Georgia,0
"2,018",March 24,Friendly,Israel,Romania,"1,534","1,688",1,2,in Israel,0
"2,018",March 24,Friendly,Ivory Coast,Togo,"1,603","1,383",2,2,in France,1
"2,018",March 24,Friendly,Kenya,Comoros,"1,397","1,041",2,2,in Morocco,1
"2,018",March 24,Friendly,Kosovo,Madagascar,"1,370","1,368",1,0,in France,1
"2,018",March 24,Friendly,Mauritania,Guinea,"1,302","1,472",2,0,in Mauritania,0
"2,018",March 24,Friendly,Northern Ireland,South Korea,"1,674","1,759",2,1,in Northern Ireland,0
"2,018",March 24,Friendly tournament,Syria,Qatar,"1,610","1,487",2,2,in Iraq,1
"2,018",March 24,Friendly,Sweden,Chile,"1,818","1,860",1,2,in Sweden,0
"2,018",March 24,Friendly,Uganda,São Tomé and Príncipe,"1,461","1,078",3,1,in Uganda,0
"2,018",March 24,Friendly tournament,Zambia,South Africa,"1,496","1,534",0,2,in Zambia,0
"2,018",March 25,Friendly,Barbados,Bermuda,"1,137","1,191",0,0,in Barbados,0
"2,018",March 25,Friendly,Congo,Guinea-Bissau,"1,382","1,288",2,0,in France,1
"2,018",March 25,Friendly,Dominican Republic,Saint Kitts and Nevis,"1,250","1,255",2,1,in the Dominican Republic,0
"2,018",March 25,Friendly,Faroe Islands,Liechtenstein,"1,282","1,154",3,0,in Spain,1
"2,018",March 25,King's Cup,United Arab Emirates,Gabon,"1,551","1,419",0,1,in Thailand,1
"2,018",March 25,Friendly,Gibraltar,Latvia,"1,079","1,358",1,0,in Gibraltar,0
"2,018",March 25,Friendly,Jamaica,Antigua and Barbuda,"1,570","1,210",1,1,in Jamaica,0
"2,018",March 25,Friendly,Kuwait,Cameroon,"1,415","1,645",1,3,in Kuwait,0
"2,018",March 25,Friendly,Martinique,Trinidad and Tobago,"1,425","1,427",0,0,in Martinique,0
"2,018",March 25,Friendly,Nicaragua,Cuba,"1,279","1,296",3,3,in Nicaragua,0
"2,018",March 25,King's Cup,Thailand,Slovakia,"1,402","1,756",2,3,in Thailand,0
"2,018",March 26,Friendly,Albania,Norway,"1,609","1,601",0,1,in Albania,0
"2,018",March 26,Friendly,Bulgaria,Kazakhstan,"1,610","1,358",2,1,in Hungary,1
"2,018",March 26,Friendly tournament,China,Czechia,"1,542","1,700",1,4,in China,0
"2,018",March 26,Friendly,Curaçao,Bolivia,"1,276","1,699",1,0,in Curaçao,0
"2,018",March 26,Friendly,Finland,Malta,"1,600","1,206",5,0,in Turkey,1
"2,018",March 26,Friendly,Portugal,Netherlands,"1,997","1,883",0,3,in Switzerland,1
"2,018",March 26,Friendly tournament,Uruguay,Wales,"1,879","1,786",1,0,in China,1
"2,018",March 27,Asian Cup qualifier,Afghanistan,Cambodia,"1,150",823,2,1,in Tajikistan,1
"2,018",March 27,Friendly,Armenia,Lithuania,"1,479","1,397",0,1,in Armenia,0
"2,018",March 27,Friendly,Colombia,Australia,"1,940","1,707",0,0,in England,1
"2,018",March 27,Friendly,Macedonia,Azerbaijan,"1,521","1,388",1,1,in Turkey,1
"2,018",March 27,Asian Cup qualifier,Bahrain,Turkmenistan,"1,400","1,252",4,0,in Bahrain,0
"2,018",March 27,Friendly,Belgium,Saudi Arabia,"1,928","1,563",4,0,in Belgium,0
"2,018",March 27,Friendly,Senegal,Bosnia and Herzegovina,"1,747","1,730",0,0,in France,1
"2,018",March 27,Friendly,Kenya,Central African Republic,"1,389","1,299",2,3,in Morocco,1
"2,018",March 27,Friendly,Mexico,Croatia,"1,870","1,842",0,1,in the United States,1
"2,018",March 27,Friendly,Denmark,Chile,"1,845","1,872",0,0,in Denmark,0
"2,018",March 27,Friendly,England,Italy,"1,945","1,894",1,1,in England,0
"2,018",March 27,Friendly,Georgia,Estonia,"1,492","1,517",2,0,in Georgia,0
